rmrecnbr,bldrecnbr,bld_descrshort,bld_descr50,floor,rmnbr,rmsqrft,rmstationcnt,deptid,rmtyp,rmsubtyp,rmtyp_descrshort,rmsubtyp_descrshort,dept_descr,falist,occlist,occdeptlist,grantdtlist,rmfnclist,fa_avail,fa_reserve,fa_na,refreshed_at,MGIS-Color
2098689,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A012V,196,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098690,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A025V,31,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098691,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A100,3268,0,000500,020,06,Circulat'n,LobbyVest,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098692,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A100Z,1041,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098693,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A200X,169,0,000500,020,07,Circulat'n,Stair,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098694,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A201,165,2,311640,310,00,Office,Office,MM UHCVC Security Svcs,,ruffins-STFS; rlipsey-STFS; angelaww-STFS,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2110960,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A201A,78,0,311640,315,11,Office Svc,DptStorage,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2110961,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A201B,10,0,311640,315,14,Office Svc,Closet,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2110962,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A201D,283,0,311640,315,04,Office Svc,CompSuppt,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2110963,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A201F,127,0,311640,315,04,Office Svc,CompSuppt,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
